datetime,Open,High,Low,Close,Volume
2008-12-15,1314.840569,1326.754281,1265.290358,1292.09621,236462
2008-12-16,1291.825444,1352.477068,1288.034718,1338.126461,307024
2008-12-17,1338.938759,1348.144809,1305.363753,1331.898839,267427
2008-12-18,1330.003475,1340.021824,1292.637743,1320.526659,267064
2008-12-19,1320.255893,1340.563356,1309.425246,1311.591375,227135
2008-12-22,1312.132908,1325.129684,1266.644189,1294.26234,186814
2008-12-23,1293.720807,1306.717584,1273.954876,1283.973225,124697
2008-12-24,1284.514757,1288.305484,1276.662538,1278.016369,37870
2008-12-26,1283.160926,1289.930081,1276.662538,1287.222419,38743
2008-12-29,1286.680887,1297.511534,1252.293582,1275.308707,113979
2008-12-30,1273.68411,1308.342181,1273.142578,1306.98835,142716
2008-12-31,1306.446818,1326.483515,1296.157703,1313.215972,117624
2009-01-02,1311.591375,1373.59683,1304.009922,1357.080093,179974
2009-01-05,1355.726262,1380.907517,1347.603277,1367.098442,190669
2009-01-06,1367.910741,1393.904294,1364.120014,1373.867597,241636
2009-01-07,1373.867597,1378.741388,1329.461943,1343.541784,254917
2009-01-08,1343.541784,1356.809327,1324.588152,1354.372432,210907
2009-01-09,1352.747834,1360.600054,1317.006699,1322.963555,244930
2009-01-12,1322.422022,1327.837346,1284.785523,1309.15448,227055
2009-01-13,1308.342181,1319.714361,1283.431692,1302.926857,283477
2009-01-14,1304.280688,1311.320609,1236.047611,1239.838337,298990
2009-01-15,1240.37987,1289.930081,1233.069183,1280.182498,382119
2009-01-16,1280.182498,1300.760728,1261.228866,1296.428469,308827
2009-01-19,1298.594599,1323.775853,1280.453264,1288.305484,12694
2009-01-20,1288.847016,1294.26234,1226.029262,1234.964546,315303
2009-01-21,1236.85991,1302.114559,1234.964546,1294.803872,303789
2009-01-22,1292.637743,1301.573027,1241.192168,1268.810319,351049
2009-01-23,1268.268786,1289.930081,1236.318377,1260.9581,346371
2009-01-26,1261.770398,1301.031494,1242.004467,1280.182498,300786
2009-01-27,1280.453264,1300.760728,1273.954876,1297.7823,250265
2009-01-28,1299.948429,1348.144809,1298.594599,1332.169605,319450
2009-01-29,1330.274242,1332.169605,1295.345404,1301.843793,269239
2009-01-30,1302.385325,1315.111335,1271.247214,1277.20407,295180
2009-02-02,1279.099434,1301.843793,1249.315154,1288.305484,289993
2009-02-03,1287.763951,1318.902062,1275.308707,1312.132908,306675
2009-02-04,1310.779077,1345.97868,1291.013145,1292.09621,315341
2009-02-05,1293.720807,1353.018601,1283.431692,1333.523436,410126
2009-02-06,1333.523436,1385.781308,1333.25267,1381.719816,335176
2009-02-09,1378.741388,1392.279697,1362.495417,1379.824452,219200
2009-02-10,1379.824452,1392.821229,1322.963555,1333.25267,423484
2009-02-11,1332.711137,1342.729486,1306.717584,1326.754281,295594
2009-02-12,1326.212749,1350.581705,1302.385325,1346.790979,409086
2009-02-13,1347.061745,1359.246223,1327.837346,1331.357306,285888
2009-02-16,1325.941983,1328.920411,1306.717584,1308.071415,12802
2009-02-17,1308.612947,1314.028271,1276.933304,1285.597822,371629
2009-02-18,1285.597822,1304.009922,1268.810319,1274.767175,355767
2009-02-19,1274.767175,1301.30226,1262.041164,1265.831891,338441
2009-02-20,1265.561125,1281.807095,1245.524427,1269.081085,441243
2009-02-23,1272.059513,1295.345404,1218.989342,1230.361521,376889
2009-02-24,1230.632287,1274.496409,1227.924626,1263.394995,390019
2009-02-25,1263.394995,1282.619394,1236.85991,1254.730477,419971
2009-02-26,1254.730477,1272.601045,1220.343173,1223.050834,363801
2009-02-27,1223.321601,1233.339949,1199.223411,1209.783292,400660
2009-03-02,1206.804864,1208.700227,1163.482275,1177.020584,399220
2009-03-03,1174.312922,1193.808087,1150.214732,1155.359289,370912
2009-03-04,1154.546991,1218.447809,1154.546991,1197.328047,424396
2009-03-05,1196.515749,1201.118774,1161.045379,1174.042156,420747
2009-03-06,1173.500623,1179.999012,1129.636502,1165.91917,453943
2009-03-08,1166.189937,1168.626832,1163.211509,1165.91917,939
2009-03-09,1167.002235,1178.103648,1126.658074,1133.156463,420459
2009-03-10,1133.427229,1204.9095,1132.344164,1202.201838,415839
2009-03-11,1202.743371,1230.090755,1196.786515,1216.010914,399002
2009-03-12,1214.386317,1262.853463,1202.743371,1257.708905,232765
2009-03-13,1257.979672,1272.881611,1243.619965,1265.83714,281194
2009-03-15,1261.231141,1263.39867,1254.18667,1254.728553,510
2009-03-16,1254.728553,1278.842317,1237.9302,1246.871259,321783
2009-03-17,1246.871259,1291.847493,1242.807141,1288.86714,322435
2009-03-18,1288.86714,1327.340786,1277.758552,1311.626198,378065
2009-03-19,1311.355257,1325.173256,1294.556904,1302.685139,305371
2009-03-20,1302.143257,1322.192904,1275.861964,1287.512434,330192
2009-03-22,1285.886787,1295.640669,1285.886787,1295.640669,918
2009-03-23,1295.098787,1363.375961,1291.847493,1356.602432,372896
2009-03-24,1356.602432,1359.853726,1333.301491,1337.63655,277672
2009-03-25,1337.63655,1367.169138,1306.207375,1343.055374,396859
2009-03-26,1343.868197,1389.115372,1341.700668,1379.090549,386214
2009-03-27,1379.36149,1382.612784,1352.538314,1361.208432,272908
2009-03-30,1354.705844,1359.582785,1304.310786,1324.360433,308688
2009-03-31,1326.527962,1363.10502,1325.98608,1327.340786,312995
2009-04-01,1326.798903,1359.853726,1311.355257,1356.602432,328971
2009-04-02,1356.331491,1420.544548,1353.622079,1414.04196,431050
2009-04-03,1412.416313,1428.401842,1401.578666,1426.505254,272822
2009-04-06,1425.69243,1438.697606,1393.17949,1423.795842,254472
2009-04-07,1423.795842,1427.589018,1372.858902,1389.657255,310354
2009-04-08,1390.470078,1415.125724,1373.129843,1409.977842,271653
2009-04-09,1409.977842,1453.59937,1408.081254,1447.909606,267499
2009-04-13,1443.574547,1456.037841,1432.195018,1446.013018,193790
2009-04-14,1445.471135,1453.328429,1413.500077,1420.544548,290424
2009-04-15,1418.106077,1430.569371,1401.849607,1428.943724,306191
2009-04-16,1427.589018,1472.02337,1416.751371,1454.141253,360095
2009-04-17,1455.225017,1474.732782,1448.722429,1465.249841,244666
2009-04-20,1462.540429,1462.540429,1410.519725,1424.608665,282325
2009-04-21,1423.524901,1441.407018,1408.623136,1438.968547,321227
2009-04-22,1438.968547,1476.087487,1424.879606,1447.096782,382259
2009-04-23,1445.471135,1469.584899,1429.485606,1459.018194,357177
2009-04-24,1460.3729,1493.969605,1447.367723,1490.176428,314206
2009-04-27,1482.590075,1499.388428,1463.353252,1483.131958,284125
2009-04-28,1483.944781,1492.88584,1464.166076,1469.855841,263359
2009-04-29,1469.855841,1514.290192,1468.501135,1495.053369,288890
2009-04-30,1495.595252,1535.965486,1491.802075,1502.639722,350282
2009-05-01,1502.910663,1520.250898,1496.679016,1515.644898,229677
2009-05-04,1514.561133,1545.448427,1514.561133,1543.82278,273138
2009-05-05,1544.364662,1547.886897,1524.044074,1545.177485,251973
2009-05-06,1545.448427,1555.744191,1516.18678,1541.113368,400051
2009-05-07,1541.113368,1558.182662,1490.447369,1512.393604,390709
2009-05-08,1513.477369,1528.379133,1490.989252,1505.891016,375522
2009-05-11,1503.181604,1527.837251,1480.422546,1508.871369,332167
2009-05-12,1508.329486,1524.315015,1474.732782,1503.181604,368141
2009-05-13,1503.181604,1505.891016,1450.348076,1455.7669,364319
2009-05-14,1455.495959,1483.402899,1448.451488,1467.688311,306176
2009-05-15,1467.41737,1488.008899,1453.59937,1467.688311,265095
2009-05-18,1465.520782,1509.14231,1454.954076,1505.078192,272519
2009-05-19,1505.891016,1528.650074,1494.511487,1505.349134,267747
2009-05-20,1505.891016,1542.197133,1502.639722,1507.787604,330587
2009-05-21,1507.516663,1509.955133,1465.249841,1483.402899,335364
2009-05-22,1484.215722,1494.782428,1465.520782,1474.732782,210622
2009-05-25,1473.649017,1482.048193,1461.998547,1477.713134,9002
2009-05-26,1476.62937,1533.527015,1455.225017,1531.088545,365957
2009-05-27,1529.733839,1548.428779,1514.832075,1519.709016,299704
2009-05-28,1520.250898,1543.551838,1505.620075,1536.778309,313344
2009-05-29,1536.778309,1563.601485,1529.191956,1557.369838,270455
2009-06-01,1554.118544,1606.41019,1549.783485,1594.759719,318620
2009-06-02,1594.488778,1619.686307,1587.173367,1601.80419,293145
2009-06-03,1602.075131,1608.84866,1580.94172,1598.552896,241488
2009-06-04,1598.552896,1618.873483,1597.19819,1617.518777,203673
2009-06-05,1617.789719,1639.735953,1602.346072,1619.957248,287904
2009-06-08,1616.705954,1625.917954,1589.611837,1618.06066,259172
2009-06-09,1618.06066,1635.942777,1611.016189,1625.10513,237386
2009-06-10,1624.563248,1644.883836,1596.656307,1620.770072,313508
2009-06-11,1621.041013,1638.931076,1613.174508,1614.258995,193200
2009-06-12,1614.530117,1622.934892,1592.569254,1610.463291,217117
2009-06-15,1608.294317,1608.294317,1565.457077,1578.470922,279951
2009-06-16,1579.013166,1592.298132,1563.016982,1564.37259,276585
2009-06-17,1564.643712,1593.653741,1559.221277,1575.759705,363305
2009-06-18,1576.030826,1586.333453,1564.914834,1574.675218,285155
2009-06-19,1576.301948,1601.516272,1575.488583,1589.858036,271823
2009-06-22,1589.315793,1594.738228,1541.32724,1547.834163,311999
2009-06-23,1547.834163,1555.425572,1531.295735,1543.767336,260152
2009-06-24,1543.767336,1580.097653,1539.971631,1567.897173,261255
2009-06-25,1567.897173,1601.516272,1553.798842,1596.636081,313036
2009-06-26,1597.178324,1607.209829,1587.417941,1601.516272,208669
2009-06-29,1600.702907,1618.596944,1590.671402,1606.667586,211175
2009-06-30,1606.667586,1617.783578,1589.586915,1600.431785,241623
2009-07-01,1601.245151,1622.66377,1598.805055,1603.956368,223973
2009-07-02,1603.956368,1603.956368,1560.034642,1562.474738,264837
2009-07-03,1562.474738,1572.777365,1560.576886,1565.185956,8565
2009-07-06,1564.643712,1566.270443,1542.411727,1562.203616,240837
2009-07-07,1562.203616,1568.98166,1519.637499,1525.059934,287436
2009-07-08,1525.8733,1535.09144,1510.148237,1530.211248,326560
